seed,test_accuracy,epochs_to_converge,training_time_seconds,lr,momentum,init_type,dropout_rate,weight_decay,lambda_consistency,consistency_warmup_epochs,consistency_mean_acc,consistency_std_acc
1,0.42866666666666664,7,9.053972005844116,0.01,0.9,xavier,0.0,0.0,1.0,10,0.42916666666666664,0.0007071067811865482
123,0.42866666666666664,6,7.662412881851196,0.01,0.9,xavier,0.0,0.0,1.0,10,0.42916666666666664,0.0007071067811865482
12345,0.43016666666666664,8,10.29043197631836,0.01,0.9,xavier,0.0,0.0,1.0,10,0.42916666666666664,0.0007071067811865482
