Method,Seed,Test Accuracy,Epochs to Converge,Time (s),lr,momentum,init_type,activation,dropout_rate,weight_decay
Dropout,1,0.3521666666666667,24,11.272757053375244,0.01,0.9,xavier,relu,0.5,0.0
Dropout,123,0.36816666666666664,25,11.589242696762085,0.01,0.9,xavier,relu,0.5,0.0
Dropout,12345,0.3621666666666667,24,11.169973134994507,0.01,0.9,xavier,relu,0.5,0.0
Weight Decay,1,0.4086666666666667,6,3.0257511138916016,0.01,0.9,xavier,relu,0.0,0.001
Weight Decay,123,0.42916666666666664,6,2.780087947845459,0.01,0.9,xavier,relu,0.0,0.001
Weight Decay,12345,0.4211666666666667,6,2.796221971511841,0.01,0.9,xavier,relu,0.0,0.001
